question,answer
When do semester exams start?,Semester exams are conducted twice a year — in December for odd semesters and June for even semesters.
How can I find/check the exam timetable?,You can view or download the exam timetable from the university's official website under the Examination section.
Where can I get my exam admit card?,Exam admit cards are available for download from the Student Login Portal one week before exams.
What documents should I carry for the exam?,"You must carry your Admit Card, College ID card, and any other documents mentioned in the exam instructions."
How can I apply for exam registration?,"Log in to your Student Portal, go to Exam Registration, select subjects, and submit before the due date."
What is the late fee for exam registration?,Late fee varies based on the delay — usually Rs 100–500 depending on the number of days delayed.
When are the internal exams conducted?,"Internal exams are held mid-semester, usually in October and March."
How are internal marks calculated?,"Internal marks are based on mid-term tests, assignments, and attendance as per university rules."
When are the exam results announced?,Results are usually declared within 4-5 months after the last examination date.
Where can I check my exam results?,You can check your results online on the University Result Portal using your roll number.
How to apply for revaluation or rechecking?,Apply for revaluation through the Examination Portal within 7 days of result publication. A revaluation fee per subject applies.
What is the revaluation fee?,The revaluation fee is generally around ₹500 per subject (may vary by department).
What if I fail in one subject?,You can appear for the supplementary/back exam in that subject during the next semester.
How can I apply for supplementary/back exams?,Supplementary/back exam registration is available on the Exam Portal after result declaration.
When are backlog exams conducted?,Backlog or supplementary exams are conducted along with regular exams every semester.
How can I get my mark sheet?,You can collect your original mark sheet from the exam cell or request a digital copy from the university portal.
What is the passing percentage for each subject?,You must score a minimum of 40% in both internal and external exams to pass each subject.
How are grades calculated?,"Grades are awarded based on the CGPA system, combining internal and external marks."
What should I do if there's an error in my marks?,Contact the Exam Cell immediately with a written application and a copy of your result.
How can I get my exam schedule for practical exams?,Practical exam schedules are announced by your department and posted on the notice board or portal.
What is the exam duration?,"Each written paper is of 3 hours duration, unless otherwise mentioned in the timetable."
What is the seating arrangement for exams?,Seating arrangements are displayed on the notice board before each exam outside the exam hall.
Whom should I contact for exam-related issues?,You can contact the Examination Cell or your Department Coordinator for any assistance.
What is the minimum attendance required to appear in exams?,A minimum of 75% attendance is required in each subject to be eligible for semester examinations.
What happens if my attendance is below the required limit?,Students with attendance below the minimum limit are not permitted to appear for the semester exam and may have to repeat the course.
What should I do if I miss an exam due to illness?,You should submit a medical certificate to the Exam Cell within 3 working days of the missed exam for consideration.
What should I do if my name is missing from the exam list?,Contact the Exam Cell immediately with your registration number and proof of exam fee payment.
How do I access the online exam portal?,Visit the university's official Online Exam Portal link and log in using your roll number and password.
Can I use a calculator in the exam?,"Yes, you can use calculator in your university exams."
What items are not allowed in the exam hall?,"Mobile phones, smartwatches, notes, and electronic devices are strictly not allowed during exams."
What happens if I'm late for my exam?,"Students arriving within 30 minutes of the exam start time are usually allowed to enter, but later than that may not be permitted."
What should I do if my admit card has incorrect details?,Contact the Exam Cell immediately with a written request for correction and your registration details.
How are practical exams conducted?,Practical exams are conducted by internal and external examiners in your respective departments before theory exams.
How are practical marks calculated?,"Practical marks are based on lab performance, viva, and practical exam results."
What is the grading system used by the university?,The university follows the 10-point CGPA grading system for evaluating student performance.
How can I calculate my CGPA?,"Multiply grade points by credit hours, sum them, and divide by total credits attempted. The formula is provided in your student handbook."
What should I do if there's a discrepancy/mistake in my grade card?,Contact the Controller of Examinations (COE) office with your grade card and supporting documents.
What are the rules for exam malpractice?,"Any form of cheating or malpractice leads to disciplinary action, which may include cancellation of the exam or suspension."
Can I appear for exams if my fees are pending?,"Students must clear all dues before appearing in the examination; otherwise, the admit card will not be issued."
How can I apply for duplicate mark sheets?,"Apply online through the Exam Cell Portal, pay the prescribed fee, and attach a copy of a valid ID proof."
How long does it take to get a duplicate mark sheet?,It usually takes 30-45 working days after submission of the request.
What is the procedure for collecting the degree certificate?,Degree certificates are issued during the convocation ceremony or can be collected from the Exam Cell after notification.
How can I update my name on exam records?,"Submit a name correction application with official proof (Aadhaar card, 10th certificate) to the exam cell."
What is the format of question papers?,"Most question papers follow a Part A (2 marks each), Part B (5 marks each), and Part C (10 marks each) pattern."
When will the next semester exams begin?,The tentative schedule for next semester exams is published on the academic calendar each year.
When will I get my degree?,"Degree certificates are usually issued during the university's convocation ceremony. If you're unable to attend, you can collect it later from the Examination Cell after official notification."
What happens if I miss my exam due to illness or emergency?,"If you miss your exam due to genuine illness or emergency, immediately inform the exam office or academic coordinator with supporting documents (such as a medical certificate). You may be permitted to apply for a re-exam, or your case will be reviewed as per institutional policies."
What time does my exam start or end?,The start and end times for your exam are specified on your exam admit card and official timetable. Ensure you arrive at least 30 minutes before the start time for verification procedures.
How can I find my exam timetable?,"Your exam timetable is usually posted on the official student portal, or displayed on the notice board of your department. Log in to your portal using your credentials."
